,game,model,experiment,episode,metric,value
0,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,Request Count,23.0
1,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,Parsed Request Count,23.0
2,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,Violated Request Count,0.0
3,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,Request Success Ratio,1.0
4,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,Aborted,0.0
5,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,Lose,0.0
6,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,Success,1.0
7,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,Main Score,0.5150086923608858
8,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,distance_score,0.5150086923608858
9,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,consistency_score,1.0
10,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_1,coverage_score,1.0
11,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,Request Count,19.0
12,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,Parsed Request Count,19.0
13,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,Violated Request Count,0.0
14,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,Request Success Ratio,1.0
15,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,Aborted,0.0
16,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,Lose,0.0
17,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,Success,1.0
18,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,Main Score,0.22183438915052167
19,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,distance_score,0.22183438915052167
20,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,consistency_score,1.0
21,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,0_normal_5,episode_0,coverage_score,1.0
22,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,3_similar_9,episode_1,Request Count,30.0
23,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,3_similar_9,episode_1,Parsed Request Count,30.0
24,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,3_similar_9,episode_1,Violated Request Count,0.0
25,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,3_similar_9,episode_1,Request Success Ratio,1.0
26,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,3_similar_9,episode_1,Aborted,0.0
