,game,model,experiment,episode,metric,value
0,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Request Count,18.0
1,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Parsed Request Count,18.0
2,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Violated Request Count,0.0
3,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Request Success Ratio,1.0
4,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Aborted,0.0
5,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Lose,0.0
6,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Success,1.0
7,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Penalties,0.0
8,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Turn Count,9.0
9,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Initial Distance,10.99070478491457
10,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Total Distance,0.0
11,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Expected Distance Score,1.0
12,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Distance Reduction Score,1.0
13,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Distance Score,1.0
14,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Penalty Score,1.0
15,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_1,Main Score,1.0
16,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Request Count,21.0
17,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Parsed Request Count,20.0
18,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Violated Request Count,1.0
19,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Request Success Ratio,0.9523809523809523
20,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Aborted,1.0
21,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Lose,0.0
22,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Success,0.0
23,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Penalties,9.0
24,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Turn Count,7.0
25,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Initial Distance,21.86118637758232
26,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Total Distance,16.536631057245557
27,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Expected Distance Score,0.013389290996634884
28,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,2_gs9x9_obj4_en,episode_0,Distance Reduction Score,0.24356204774855494
